題號,類別,題目,解答
132,專利申請日, 設計申請書上已有寫設計名稱，可以省略外文本的設計名稱嗎？,申請書、說明書及圖式都是設計專利申請案以外文本取得申請日之必要文件，缺一不可。因說明書上至少應載明設計名稱，故外文本至少應有設計名稱及圖式，始可認具有說明書及圖式。至於申請書因不是外文本之一部分，故無法以申請書上之記載補充外文本不足之部分，否則將架空外文本應備內容之規定。
133,專利申請日,外國專利公報、優先權證明文件可以直接作為外文本嗎？,申請人以優先權證明文件或外國專利公報作為外文本者，仍應符合專利以外文本申請實施辦法第4條之規定，始得以外文本提出之日為申請日。例如，以美國臨時案之優先權證明文件替代外文本時，應注意是否有申請專利範圍或圖式等等取得申請日之要件。
134,專利申請日, 外文說明書的撰寫格式要和中文說明書一致嗎？,外文本的目的在確認取得申請日之技術揭露範圍，並非確認其格式是否與我國規定者一致，且外文本提出後不得修正，因此外文本未依專利法施行細則規定之標題、順序撰寫時，僅須補正之中文本依規定撰寫，並說明其內容不超出申請時外文本所揭露之範圍即可。
135,專利申請日,同一申請案可以同時或先後提供二個外文本給智慧局審查嗎？,申請人先後提出二個以上外文本者，以最先提出之外文本為準。惟申請人聲明以後者提出之日為申請日時，以後提出之外文本為準。若申請人同日提出二以上外文本者，應限期擇一外文本，屆期未擇一者，不受理其申請案。
136,專利申請日,以外文本提出的申請案，有多長的時間可以準備中文本？可以請求延期嗎？,發明和設計專利申請案的補正期間為4個月，新型專利申請案的補正期間為2個月。申請人可以請求延期補正，最長延到申請時起6個月止。如申請人先後提出二個以上的外文本，並聲明以第二版外文本作為取得申請日的版本時，將以第二版外文本提出日起算補正期間。
137,專利申請日,以外文本提出的申請案，補正中文本要和外文本完全相同嗎？,補正之中文本應據申請時之外文本予以正確完整地翻譯，以作為本局審查之基準文本。補正之中文本，如超出申請時外文本所揭露之範圍，將不予專利。
138,專利申請日,外文本缺漏和中文本缺漏的處理方式相同嗎？,申請案以外文本提出申請者，其說明書及圖式應完整揭露所欲申請專利之技術或技藝內容。程序審查時，如從形式上檢核即發現外文說明書之頁碼或圖式之圖號有不連續之情事，將通知限期補正，其法律效果依中文說明書或圖式缺漏之原則辦理。申請人自行發現說明書有部分缺漏或圖式有缺漏亦同。
139,專利變更事項,專利變更事項有那些？,專利變更事項範圍廣泛，常見專利變更事項包括：申請人(送達代收人)地址、申請人姓名/名稱、申請人簽名/印章、申請人國籍、發明人(新型創作人/設計人)、發明人(新型創作人/設計人)姓名、發明人(新型創作人/設計人)國籍、公司代表人、發明(新型或設計)名稱、代理人及其他變更等事項。
140,專利變更事項,申請專利變更事項有規定書表格式嗎？要檢送什麼證明文件？,"(1) 申請專利如有變更事項應使用申請書請至本局局網首頁→專利→進入專利主題網→申請專利→申請表格→專利申請表格暨申請須知→下載「專利變更申辦事項申請書」，確實勾選變更事項及詳細敘明變更後資料，並檢送相關證明文件。
(2) 各項申請變更應檢附之相關證明文件及規費如下：
A. 變更申請人之地址─應載明變更後之地址，無須繳納變更規費。
B. 變更代理人─應載明變更後代理人之姓名，並檢附委任書及變更規費新臺幣300元。
C. 變更公司之代表人─應載明變更後代表人之姓名，無須繳納變更規費。
D. 變更申請人之姓名─應載明變更後之姓名，並檢附更名證明文件及繳納變更規費新臺幣300元。
E. 變更申請人之名稱─應載明變更後之名稱，並繳納變更規費新臺幣300元。若為外國法人者，尚須檢附外國政府之主管機關所核發之證明文件，如無法檢送證明文件，得以申請人出具之切結書代之。切結書內應敘明其變更之事實、無法檢送證明文件之理由，及聲明願負一切法律責任。
F. 變更申請人之簽章─申請人變更印章或簽名樣式時，應於申請書上蓋妥新、舊印章或簽署新、舊簽名樣式(如舊印章已遺失或僅簽署新簽名樣式者，須檢送切結書)，並繳納變更規費新臺幣300元。
G. 變更專利權人之簽章─專利權人變更印章或簽名樣式時，應於申請書上蓋妥新、舊印章或簽署新、舊簽名樣式(如舊印章已遺失或僅簽署新簽名樣式者，其為自然人者，須檢送切結書及其身分證明文件；其為法人者，須檢送切結書)，並繳納變更規費新臺幣300元。
H. 變更申請人(發明人)為自然人之國籍─應載明變更後之國籍，無須繳納變更規費。
I. 變更發明人之姓名─應載明變更後之姓名，並檢附更名證明文件及繳納變更規費新臺幣300元。
J. 變更發明人─發明人以提出申請時之申請書上之發明人欄位所載為準。提出專利申請後，申請追加發明人者，應檢附申請書及追加後全部發明人所簽署同意追加之證明文件；申請刪除發明人者，應檢附申請書及被刪除之發明人所簽署聲明其確非本案發明人之證明文件；因誤繕申請更正發明人者，應檢附申請書敘明誤繕原因(例如代理人不慎錯誤鍵入他案之發明人資料)，並檢送相關證明文件(例如申請人原始委託資料、申請權證明文件、僱傭契約等)。如因發明人生病、死亡或無法聯絡等事實上之問題，以致無法取得發明人簽署之上開證明文件時，申請人得以檢附切結書代之。切結書內應敘明發明名稱、全部發明人姓名、無法提出證明文件之理由，及聲明願負一切法律責任。凡申請追加、刪除或更正發明人者，均須繳納變更規費新臺幣300元。
K. 變更發明(新型或設計)名稱─應載明變更後之發明(新型或設計)名稱，並應檢送說明書首頁，無須繳納變更規費。
L. 變更送達代收人─應載明變更後之送達代收人姓名及其地址，並由申請人簽名或蓋章，無須繳納變更規費。
M. 同一申請書申請變更二種以上變更事項者，只須繳納一筆變更規費。
"
141,專利變更事項,何種專利變更事項可以用「e-mail」、「傳真」方式申請？,"(1) 適用之簡易申辦項目如下：
A. 更正申請人、發明人、新型創作人、設計人、專利權人、代理人或代收人之身分證字號或統一編號。
B. 變更專利權人之代表人。
C. 變更地址（僅限專利權人/代理人/代收人，專利申請階段變更申請人地址，只能以紙本或電子方式申請變更）。
(2) 申請書表檔案：申請書請至本局局網首頁→專利→進入專利主題網→申請專利→申請表格→專利申請表格暨申請須知→下載「專利簡易申辦事項傳真申請書」或「專利簡易申辦事項E-MAIL申請書」。
(3) e-mail申辦電子信箱為：apply@tipo.gov.tw；傳真申辦號碼為：02-23779875，歡迎多加利用。
(4) 傳真完畢可電詢本局分機7128是否收到申請書表。
"
142,專利變更事項,有哪些變更事項能以一文多案號方式申請變更？,申請人（專利權人）地址、送達代收人地址、申請人（專利權人）姓名/名稱、申請人（專利權人）國籍（僅限自然人）、發明人(新型創作人/設計人)姓名、發明人(新型創作人/設計人)國籍、法人、公司、機關及學校代表人、代理人、送達代收人等9項變更事項得以一文多案號方式辦理變更，其餘事項為確保案卷資料之正確性暫不開放。
143,專利變更事項,以一文多案號方式申請變更，所有申請案的申請人都必須完全相同嗎？如果有部分申請案與其他人共同申請能否以一文多案號方式申請變更？,"原則上所有申請案號申請人必須全部一致，才能以一文多案號方式申請變更，但若有部分案件與他人共同申請，可變更同一申請人之基本資料（包括申請人地址、姓名/名稱、自然人之國籍、代表人），其餘事項皆不得變更，而且必須將申請人的排列組合加以完整敘明。
例1：甲公司有100件申請案，其中30件為甲單獨申請，30件為甲、乙共同申請，40件為甲、丙共同申請。今欲以一文多案號方式申請變更甲公司名稱為丁公司，除註明申請人名稱變更外，必須敘明序號第1~30號申請案申請人名稱為甲；序號第31~60號申請人名稱為甲、乙；第61~100號申請人名稱為甲、丙。
例2：甲公司有100件申請案，其中30件為甲單獨申請，30件為甲、乙共同申請，40件為甲、丙共同申請。今欲以一文多案號方式申請變更甲公司地址，除註明變更後地址外，必須敘明序號第1~30號申請案申請人名稱為甲；序號第31~60號申請人名稱為甲、乙；第61~100號申請人名稱為甲、丙。
（請詳見本局本局局網首頁→專利→進入專利主題網→申請專利→申請表格→專利申請表格暨申請須知本局局網首頁→專利→申請資訊及表格→專利申請表格暨申請須知→專利申請案/專利權（一文多案號）變更事項申請書填表須知及表單範例2）
"
144,專利變更事項,以一文多案號方式申請變更事項變更後之結果，是否要全部相同？,"是的，因為一文多案號辦理變更是將所有案號全部變更為同一結果，故變更後之結果必須完全相同。舉例而言：甲公司有100件申請案原代理人為A，欲以一文多案號方式變更代理人為B或B、C共同代理，則此100件必須全部由A代理人變更為B代理人，或是全部由A代理人變為B、C共同代理，變更結果須完全相同。
如果甲公司欲將其中30件代理人變更為B，30件代理人為B、C，40件代理人為B、C、D，因辦理結果不相同，不能以一文多案號方式辦理變更。但甲公司可區分為3份不同的申請書分別辦理一文多案號變更事項。
"
145,專利變更事項,若一文多案號中各申請案代理人不同，或無法確認所有案件是否都有委任代理人時如何辦理一文多案號變更事項？,可以用特別委任方式辦理本次變更，但無論是特別委任代理人辦理，或是原先就有委任代理人之案件，由代理人辦理一文多案號變更事項皆須另附委任書。
146,專利變更事項,多項變更事項可否於同一次以一文多案號變更方式辦理？,可以，只要符合所有案號申請人相同，變更後之結果相同，且變更事項皆為一文多案號變更事項申請書所受理之變更事項，可於同一次變更申請中辦理多項變更。
147,專利變更事項,一文多案號辦理變更之事項規費，應如何計算？,"辦理變更申請人姓名/名稱、發明人/新型創作人/設計人姓名、變更代理人須繳納規費，其他案件無須繳納規費，規費以「申請案號」數量為計算單位，每一申請案號即為1件應繳新臺幣300元整，於同一申請案件同時變更二事項以上者，每個申請案號僅收取1次變更規費新臺幣300元整。
例如：100件專利案以一文多案號申請變更申請人姓名，規費金額為100件*300元=30000元。
如同時辦理申請人姓名及代理人變更，仍只需繳納一種變更規費，規費為100件*300元=30000元。
"
148,專利變更事項,可否用電子申請方式辦理一文多案號變更事項？,不行。電子申請表單尚未有一文多案號申請書可以使用，且電子申請規費系統尚無法於一文號中開立多張收據，故以一文多案號方式申請變更事項，仍請以紙本方式送件。
149,專利變更事項,先前以一文一案方式辦理變更，尚在補正文件階段，可否以一文多案號方式辦理補正文件？,不行，因案件已於處理中，補件時請仍以一文一案方式送件。
150,專利變更事項,同一外國申請人中文譯名不同，但外文名稱或姓名相同；或者中文譯名相同而外文名稱或姓名不同，可否用一文多案號方式辦理變更？,不行。因無法確認主體一致性，故無法以一文多案號方式辦理變更。
151,專利變更事項,本國申請人如身分證字號或統一編號相同，但在不同案件中申請人姓名或名稱不同，是否可以用一文多案號方式辦理變更？,不行。因無法確認主體一致性，故無法以一文多案號方式辦理變更。
152,專利變更事項,智慧局提供快辦服務的專利申請事項有哪些？,"有。 
(1) 本局快辦服務台，提供下列快速服務：
A. 優先權證明文件申請。
B. 專利證書遺失補發：當日送件，3-5工作天取件（限紙本形式證書）。
C. 補發收據證明：帶印章臨櫃申辦。
(2) 簡易事項可使用傳真或E-MAIL方式申請，適用之簡易申辦項目如下：
A. 更正申請人、發明人、新型創作人、設計人、專利權人、代理人或代收人之身分證字號或統一編號。
B. 變更專利權人之代表人。
C. 變更地址（專利權人/代理人/代收人）。
D. 閱卷(申請閱覽核駁、審查中、異議、舉發專利案件，請於申請書上簽署原卷存簽章後再傳真)。
E. 影印專利案(申請影印核駁、審查中、異議、舉發專利案件，請於申請書上簽署原卷存簽章後再傳真)。
F. 補發收據證明書。
G. 展延補正。
H. 面詢。
I. 檢還樣品。
申請書請至本局局網首頁→專利→進入專利主題網→申請專利→申請表格→專利申請表格暨申請須知下載「專利簡易申辦事項傳真申請書」或「專利簡易申辦事項E-MAIL申請書」。"
153,專利變更事項, 同一件專利申請案，從提出申請到領取專利證書的每項申請文件都要蓋同一顆印章嗎？印章遺失或更換印章要如何辦理？,"甲、 不用。但對於申請人權益有重大影響之下列事項，為維護申請人權益，本局須審核申請書或證明文件上之申請人簽章與該案第一次提出專利申請時之申請書或委任書上之申請人簽章是否一致：
A. 專利申請權讓與登記。
B. 專利權讓與登記。
C. 專利權信託登記。
D. 提早公開發明申請案。
E. 撤回或拋棄專利申請案。
F. 閱覽、抄錄或複製限由當事人閱卷之案卷(限制範圍以專利閱卷作業要點規定為準)。
乙、 印章遺失或更換印章時，申請人可依下列方式擇一為之：
A. 補正與卷存簽章一致之簽章。
B. 申請變更簽章。
C. 切結申請書或證明文件上之簽章確為其親自簽署或有權之人簽署。申請人為自然人時，於專利核准審定（或處分）前，須檢送切結書；於專利核准審定（或處分）後，須檢送切結書及其身分證明文件；申請人為法人時，須檢送切結書。選擇以切結之方式補正而不申請變更簽章者，僅就當次申請事項發生個案之效力，其後辦理有關專利事項而須審核簽章時，仍以卷存原簽章為比對基準。"
154,專利變更事項,專利申請人填寫不齊全或寫錯人別時，要如何辦理？,確定申請人之標準，以首次申請書所載為判斷標準。嗣後之異動得檢送適法之證明文件辦理申請權讓與登記或以申請人確立之日為申請日。
155,專利變更事項,申請人姓名或名稱不小心打錯字，可以更正嗎？,若可證明確係同一主體，只是文書上之顯然錯誤，則准予變更申請人姓名或名稱(變更規費300元)。如果無法證明是同一主體，則應檢附申請權證明文件辦理更正申請人，並以更正申請人之日為申請日(不需繳納規費)，或檢具由原申請人出具之權利讓與證明文件辦理申請權讓與登記(讓與登記規費2000元)。
156,專利變更事項,二人共同申請的專利案，其中一人想要放棄，要如何辦理？,申請人欲拋棄其專利申請權，應向本局以書面意思表示拋棄，自其以書面向本局表示拋棄之日消滅。共有人之一拋棄其專利權之應有部分者，專利權由其他共有人享有。
157,專利變更事項,申請後想要增加或刪除發明人，要如何辦理？,發明人以提出申請時之申請書上之發明人欄位所載為準。提出專利申請後，申請追加發明人者，應檢附申請書及追加後全部發明人所簽署同意追加之證明文件；申請刪除發明人者，應檢附申請書及被刪除之發明人所簽署聲明其確非本案發明人之證明文件；因誤繕申請更正發明人者，應檢附申請書敘明誤繕原因（例如代理人不慎錯誤鍵入他案之發明人資料），並檢送相關證明文件（例如申請人原始委託資料、申請權證明文件、僱傭契約等）。
158,專利變更事項,申請增加或刪除發明人(新型創作人、設計人)時，找不到原來的發明人(新型創作人、設計人)簽署同意書，要如何辦理？,如因發明人生病、死亡或無法聯絡等事實上之問題，以致無法取得發明人簽署同意證明文件時，申請人得檢附切結書代之。切結書內應敘明發明名稱、全部發明人姓名、無法提出證明文件之理由，及聲明願負一切法律責任。新型創作人、設計人亦同。
159,專利變更事項,發明人(新型創作人、設計人)姓名不小心打錯字，可以更正嗎？,主張發明人(新型創作人、設計人)誤繕，是指發明人(新型創作人、設計人)自始記載錯誤，例如將他案之發明人(新型創作人、設計人)誤載為本案之發明人(新型創作人、設計人)，此時應檢附記載當時所依據之資料作為佐證(如委託人原始提供資料、申請權證明文件等)。如果記載當時並無錯誤，而是事後申請追加或變更發明人者，應檢附追加後全體發明人簽署之申請權證明文件，或檢附被刪除之發明人聲明確非本案發明人之聲明書。因誤繕、追加或刪除而申請變更專利申請案之發明人者，都應繳納變更規費300元。
160,專利變更事項,發明人(新型創作人、設計人)排列先後順序要做調整時，要如何辦理？,來文說明即可。
161,專利變更事項,申請人或發明人(新型創作人、設計人)改名時，要如何辦理？,"(1) 申請人應載明新姓名申請變更及繳納變更規費300元，並檢送下列證明文件：
A. 為自然人時，應檢附更名證明文件，例如身分證影本、戶籍謄本影本或護照影本等，不得以切結書代之。
B. 為我國法人，且其法人名稱之變更資訊可從主管機關網站查詢者，無須檢送證明文件，如有疑義時，得通知補送相關證明文件。
C. 為外國法人時，應檢送登記國主管機關出具之相關證明文件。若無法檢送證明文件，得以切結書代之。切結書內應敘明其更名之事實、無法檢送證明文件之理由，及聲明願負一切法律責任。
D. 外文姓名或名稱不變，僅變更其中譯名者，無須檢送證明文件。
(2) 發明人(新型創作人、設計人)應載明新姓名申請變更，並檢送更名證明文件，例如：身分證影本、戶籍謄本影本或護照影本等，不得以切結書代之。如外文姓名不變，僅變更其中譯名者，無須檢送證明文件。
"
162,專利變更事項,申請後想變更代理人，要如何辦理？,專利申請案之代理人以申請書所載為準，嗣後如有變更，應檢附新任代理人之委任書申請變更，並繳納變更規費300元。但變更後之代理人已見於原委任書者，則無須重行檢附。
163,專利變更事項,如果專利申請案，已經核駁逾越法定期間亦未提再審查，可以申請變更代理人嗎？,專利申請案如已核駁確定，變更代理人已無實益，本局將不受理變更登記。
164,專利變更事項,申請後想解任代理人，要如何辦理？,如係申請人解任代理人，應由申請人本人或取得申請人特別授權之代理人以書面通知本局；如係代理人終止委任關係而消滅其代理權，代理人除以書面向本局表示解任其代理外，尚須同時表明業已向申請人終止委任契約，其原代理權已因委任關係終止而消滅，始准予備查。
165,專利申請權異動,申請後想將專利申請權讓與別人，要如何辦理？,可由原申請人或受讓人備具申請書及規費2000元，並檢附讓與契約或讓與證明文件到本局辦理。(申請書請至本局局網首頁→專利→進入專利主題網→申請專利→申請表格→專利申請表格暨申請須知下載「申請權讓與登記申請書」)。
166,專利申請權異動,讓與人和受讓人都是公司，而且代表人相同時，可以由同一位代表人代表雙方簽訂申請權讓與契約嗎？,"不可以，專利申請權讓與登記之讓與人或受讓人一方為本國公司，且雙方公司代表人為同一人時，其中一方應另定代表公司之人。如由本國公司另定代表公司之人時，應按公司性質依下列方式辦理：
(1) 有限公司：如僅置董事一人者，須由全體股東之同意另推選有行為能力之股東代表公司，並附具全體股東推派代表之同意書及公司設立（變更）事項登記卡正、反面影本全份；如置董事二人以上，且特定一董事為董事長者，由其餘之董事代表公司，並附具公司設立（變更）事項登記卡正、反面影本全份（經濟部91年7月26日經商字第09102156880號函釋參照）；如為一人有限公司，則應增加股東後依上開方式處理或向法院申請選任臨時管理人代表公司簽約，並附具相關證明文件（經濟部92年9月15日經商字第09202193120號函釋參照）。
(2) 股份有限公司：須由監察人代表公司，並應附具公司設立（變更）事項登記卡正、反面影本全份。"
167,專利申請權異動, 公司代表人和公司間簽訂專利申請權讓與契約，可以由同一位代表人代表公司嗎？,為了避免利害衝突，公司法第59條規定，公司代表人不能代表公司與個人自己之間為買賣、借貸或其他法律行為。申請本國公司與其公司代表人個人間之專利申請權讓與登記時，其讓與契約書或專利申請權讓與證明書等文件，公司應簽署部分及應備具之證明文件，亦應比照前題處理原則辦理。但代表人將其所有之專利申請權無償讓與公司，並申請辦理讓與登記時，此時公司係純獲法律上利益，不致引起利害衝突，應無公司法第59條規定禁止自己代表之適用，故准予辦理登記（法務部96年3月20日法律決字第0960008616號函釋參照）。
168,專利申請權異動,讓與契約書可以使用影本嗎？讓與人和受讓人都要簽名嗎？,"(1) 讓與契約書須有讓與人及受讓人之意思表示，並由雙方連署。但如讓與人已於契約書上單方簽署，而由受讓人申請讓與登記，表示雙方意思合致，此時受讓人可不在讓與契約書上簽署。
(2) 契約書得以影本代之，但須釋明與原本或正本相符。"
169,專利申請權異動,專利申請人死亡後，要如何辦理繼承登記？,"專利申請權可以做為繼承之標的，在有繼承之事實發生即生繼承之效力，但是必須向本局辦理登記，才能對抗第三人。申請專利申請權繼承登記，應備具專利申請權繼承申請書及規費2000元，以及下列文件：
(1) 死亡證明文件（影本亦可）1份。
(2) 繼承系統表1份。國外寄存機構為何
(3) 繼承證明文件(如全戶戶籍謄本、戶口名簿或其他足資證明具有繼承權利之人的文件)。
(4) 繼承人有多人時，全體繼承人應共同申請繼承登記。僅由其中1人或數人繼承時，應另檢附以下文件之一：
A. 法院出具之拋棄繼承證明文件。
B. 遺囑公證本。
C. 全體繼承人共同簽署之遺產分割協議書。
(5) 如繼承人尚未成年，應由法定代理人或監護人連署並檢附證明文件。相關書表本局局網首頁→專利→進入專利主題網→申請專利→申請表格→專利申請表格暨申請須知下載「專利權繼承登記申請書」。"
170,一案兩請,何謂一案兩請、權利接續制？,"當同一申請人就相同創作，於同日分別申請發明專利及新型專利時，因新型採取形式審查，通常會先取得專利權，如本局實體審查發明專利申請案並無發現不予專利之情事，基於一創作不能重複授予二項專利的原則，會通知申請人限期選擇保留已取得的新型專利權，或選擇將來取得發明專利權，申請人選擇發明專利權者，本局才能公告授予發明專利權，新型專利權則自發明專利公告日起向後消滅。因為相同創作自新型專利權公告日起至發明專利權公告日止是受新型專利權保護，在發明專利權公告日起是受發明專利權保護，二項專利權期間不重疊而接續進行，所以稱為一案兩請、權利接續制。
申請人要享受權利接續的利益，必須於申請時分別在發明專利申請書及新型專利申請書聲明一案兩請的事實，讓公眾瞭解到該創作於新型專利權消滅後可能還有發明專利權的保護，而且在發明專利權公告前，新型專利權要維持在有效的狀態。"
171,一案兩請,在102年6月13日前一案兩請的申請案，適用權利接續制嗎？,專利法一案兩請、權利接續的修正規定，於102年6月13日生效，故必須於102年6月13日以後提出的專利申請案，始有適用。102年6月13日以前申請且尚未審定之案件，適用修正前第32條規定。亦即，同一申請人就相同創作，於同日分別申請發明專利及新型專利，並先取得新型專利權者，如本局實體審查發明專利申請案並無發現不予專利之情事，會通知申請人限期選擇保留已取得的新型專利權，或選擇將來取得發明專利權，申請人選擇發明專利權者，其新型專利權視為自始不存在。
172,一案兩請,申請時沒有聲明一案兩請的事實，可以在申請後補聲明嗎？,申請人應於申請時分別在發明專利申請書及新型專利申請書聲明，未於申請時同時分別聲明，包括二案皆未聲明及其中一案未聲明，均不得在申請後補聲明。
173,一案兩請,一案兩請所謂的「同日」，是指申請日或優先權日？,依專利法施行細則第26條之2第1項規定，指屬相同創作之發明與新型之申請日相同，若主張優先權時，發明與新型之優先權日亦須相同。
174,一案兩請,一案兩請所謂的「相同創作」，是指申請專利範圍全部相同嗎？,一案兩請所謂的「相同創作」，係指申請專利範圍其中一項相同即可。
175,一案兩請,一案兩請之申請人一定要完全一樣嗎？例如一個發明專利申請案申請人為A及B，同時一案兩請新型專利申請案之申請人可以僅為A嗎？,"不可以，須完全一致。
依專利法第32條規定，申請一案兩請時申請人必須是「同一人」，所謂「同一人」指於我國申請專利時，發明與新型專利申請人完全相同；於通知限期擇一時、發明專利核准審定時及發明專利公告時等時點，發明專利申請人與新型專利權人亦完全相同。
於申請後至發明專利核准審定前，如有讓與之情事，發明及新型專利須一併讓與。若因讓與致使發明與新型專利申請人、發明專利申請人與新型專利權人非完全相同者，因為不同人無從依期限擇一，此時發明專利應依先申請原則審查。"
176,一案兩請,專利申請一案兩請時，發明專利申請案及新型專利申請案的發明人（新型創作人）須一致嗎？,"不用完全相同。
發明及新型專利須符合「同一人」、「同日」、「相同創作」、「申請時分別聲明」及「已取得新型專利權，且新型專利權非已當然消滅或經撤銷確定」要件，始有權利接續之適用。上述「同一人」指於我國申請專利時，發明與新型專利申請人完全相同，而非指發明人（新型創作人）完全相同，因此ㄧ案兩請的發明人（新型創作人）是可以不用完全相同。
"
177,一案兩請,一案兩請的案件，於發明專利審查時，新型專利權年費已逾期，但尚在6個月補繳期間內或1年的申請回復專利權期間內，會不准發明專利嗎？,新型專利權在6個月之年費補繳期間，因尚未發生當然消滅之法律效果 ，非屬適用第32條第3項規定之情形。至於已逾6個月補繳期間，致使新型專利權已當然消滅者，如申請人未能及時依法申請獲准回復新型專利權，因發明專利審定時，新型仍處於當然消滅之狀態，應審定不予發明專利。反之，如發明專利審定(含初審及再查階段）時，新型專利業經准予回復專利權而有效存續者，即依第32條第1項規定，通知申請人限期擇一。
178,一案兩請, 一案兩請之發明申請案通知申請人限期擇一，但其新型案被第三人提起舉發，若專利權人選擇發明，該新型舉發案是否會續行審查？,若為102年6月13日生效施行後提出之一案兩請，其專利權採權利接續，所以舉發案會繼續審查；若為102年6月13日生效施行前提出之一案兩請，選擇發明案後，新型案自始不存在，因標的不存在，該舉發案應不予受理。
179,一案兩請,一案兩請時若選擇發明專利，新型專利權應維持到發明案審定時還是公告時？,申請人同日分別申請發明及新型專利，其於發明專利核准審定前，已取得新型專利權，經本局通知申請人擇一，申請人擇發明專利者，該新型專利權自發明專利公告之日消滅。
180,一案兩請, 一案兩請的案件，於發明專利核准審定時，新型專利權還在存續狀態，但於發明審定後，新型專利權已當然消滅或撤銷確定者，會公告發明專利權嗎？,同一申請人就相同創作，於同日分別申請發明專利及新型專利，而聲明一案兩請之情形，依專利法第32條第2項權利接續之規範意旨，申請人應負有於發明專利「公告前」維繫其新型專利權有效存續之義務，倘申請人於發明專利審定後，任令其新型專利權當然消滅或撤銷確定，而使新型專利權所保護之創作進入公有領域，自無從使其新型專利權自發明公告之日同時消滅。本局為發明專利公告時，如發現新型專利已當然消滅或撤銷確定，則該發明專利應不予公告。
181,優先權,國際優先權應如何主張？有何期間限制？,"(1) 如何主張：主張國際優先權必須在申請同時聲明國外第1次申請日及受理之國家(WTO會員)及案號。如有主張複數優先權者，各項優先權基礎案均應聲明。若主張複數優先權之申請日及受理該申請之國家或WTO會員均相同者，仍須逐項載明欲主張之基礎案資料，否則依其載明之項數認定主張幾項優先權。
(2) 期間限制：申請人就相同發明如已向WTO會員或與我國相互承認優先權的國家(WTO會員)第1次依法申請專利，並於其國外第1次申請專利之日起12個月內(設計為6個月內)向我國申請專利(以計算至我國取得之申請日為準)，就可以主張國際優先權，且應注意在最早優先權日16個月內(設計為10個月內)，檢送外國或WTO會員政府受理該申請案的證明文件正本。"
182,優先權,我先在國外申請設計專利，再來國內申請新型專利，優先權法定期間如何計算？,優先權基礎案為設計專利申請案，國內申請案為新型專利申請案，優先權法定期間為自國外第1次申請專利之日起6個月。
183,優先權,如先在國外申請新型專利，再來國內申請設計專利，優先權法定期間如何計算？,優先權基礎案為新型專利申請案，國內申請案為設計專利申請案，優先權法定期間為自國外第1次申請專利之日起6個月。
184,優先權,何謂優先權日？,"優先權可分為國際優先權及國內優先權二種。以在我國以外之國家或世界貿易組織（以下簡稱WTO）會員提出之申請案為基礎案，據以主張優先權者，稱為國際優先權，以在我國提出之申請案為先申請案，據以主張優先權者，稱為國內優先權。無論是國際優先權或是國內優先權，後申請案皆能以其基礎案或先申請案之申請日為優先權日。
主張優先權者，其專利要件之審查，應以優先權日為準；如果是發明專利申請案，應自最早優先權日後18個月公開；如果是申請生物材料或利用生物材料之發明專利，應自最早國際優先權日後16個月內檢送寄存證明文件。"
185,優先權,國際優先權基礎案與國內申請案的申請人不一致，可以主張國際優先權嗎？,申請人與其據以主張優先權基礎案之申請人不一致時，鑑於實務上，非申請人之權益繼受人難以取得優先權證明文件正本，故推定其具有主張優先權之合法地位，本局不要求補送優先權讓與證明文件，嗣後如有爭議，由申請人自負法律責任。
186,優先權,專利共同申請人之一不是WTO會員國民，且其所屬國與我國無相互承認優先權，可以主張國際優先權嗎？,不行。專利申請案之全部申請人都必須是WTO會員之人民，或其所屬國家與我國有相互承認優先權，或其在WTO會員或互惠國領域設有住所或營業所者，才可以主張優先權。
187,優先權,申請人不是WTO會員國民，但於WTO會員領域內設有住所或營業所，可以主張國際優先權嗎？,可以。依專利法第28條第3項規定，若於WTO會員或互惠國領域內，設有住所或營業所者，亦可向我國主張優先權，此即一般所稱的準國民待遇。主張準國民待遇者，須檢送於WTO會員或互惠國領域內設有住所或營業所之官方證明文件。
188,優先權,申請人不是在WTO會員設立登記的公司，但其母公司或股東在WTO會員領域內設有住所或營業所，可以主張國際優先權嗎？,不行。母公司與其轉投資設立之子公司係屬不同之法人格，故母公司不得主張子公司之營業所為其營業所，反之亦然。
189,優先權,以準國民待遇身分主張優先權，需要提供準國民待遇證明文件，但文件地址是舊地址，如要主張地址有變更，但證明文件不是官方文件可以嗎？,不可以。主張準國民待遇證明文件仍以官方文件為準。
190,優先權,WTO會員資料可在何網站查詢？,請上國際貿易局網站→WTO入口網→WTO介紹→WTO會員。
191,優先權,中國大陸的申請案，可以主張優先權嗎？,可以。依「海峽兩岸智慧財產權保護合作協議」，從99年11月22日開始之新申請案，可主張99年9月12日以後在中國大陸申請之申請案作為優先權。
